ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Meta: wpr_secondary_image_id","Meta: site-sidebar-layout","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: theme-transparent-header-meta","Meta: _eael_post_view_count","Meta: astra-migrate-meta-layouts","Meta: _wc_facebook_sync_enabled_v2","Meta: fb_visibility","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 4 default","Meta: fb_size","Attribute 3 default","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 5 default","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Meta: _wc_facebook_product_image_source","Meta: fb_mpn","Meta: fb_product_image","Meta: fb_product_images","Meta: fb_product_price"
3589,variable,,,"Clear Plastic Business Cards",1,0,visible,"Plastic Cards are waterproof, durable, and ideal for accentuating vibrant colors. Plastic Cards stand apart from traditional stock paper with a distinct texture and strength and are available in 20pt clear, frosted, or white. Get creative and pitch these as membership or loyalty cards—your customers will be thrilled that you did.","Plastic Cards are waterproof, durable, and ideal for accentuating vibrant colors. Plastic Cards stand apart from traditional stock paper with a distinct texture and strength and are available in 20pt clear, frosted, or white. Get creative and pitch these as membership or loyalty cards—your customers will be thrilled that you did.",,,taxable,,1,,,0,0,,,,,1,,,,"Business Cards",,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/GGP250425_Product-Images_Name-Card_V3_Transluscent.png,,,,,,,,,0,,Quanity,"250, 500, 1000, 2500",1,0,,"Corners Radius","Rounded 1/8""",1,0,"Rounded 1/8""",0,default,default,default,default,default,59,set,yes,yes,Stock,"20pt Clear Plastic",1,0,Size,"3.5"" x 2",1,0,"3.5"" x 2","3.5"" x 2","20pt Clear Plastic",Turnaround,"4 Business Days",1,0,"4 Business Days",,,,,,,,,
3606,variable,,,"4mm Coroplast Signs",1,0,visible,,"Plastic Cards are waterproof, durable, and ideal for accentuating vibrant colors. Plastic Cards stand apart from traditional stock paper with a distinct texture and strength and are available in 20pt clear, frosted, or white. Get creative and pitch these as membership or loyalty cards—your customers will be thrilled that you did.",,,taxable,,1,,,0,0,,,,,1,,,,Signs,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/White-label_Real-Estate-Signage-_2_from_4over.png,,,,,,,,,0,,Quanity,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 20, 30, 40, 50, 60, 70, 100, 200",1,0,,Stock,"4mm Coroplast",1,0,"4mm Coroplast",0,default,default,default,default,default,151,set,yes,yes,Turnaround,"2-4 Business Days",1,0,,,,,,,"2-4 Business Days",,,,,,,,,,,,,,
3677,variable,,,"Tax Affiliate Package",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Large Format",,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/Tax-Affiliates.png,,,,,,,,,0,,Turnaround,"4 Business Days",1,0,,,,,,,0,default,default,default,default,default,31,set,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,
3727,variation,,,"Standard Retractable Banner - 4 Business Days, 80"" x 33""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,149.99,,,,,,,id:3272,,,,,,0,,Turnaround,"4 Business Days",,0,,Size,"80"" x 33""",,0,,,,,,,,,,,,,,,,,,,,,"80"" x 33""",,,,,,,,,,,,,,,
3725,variation,,,"Standard Retractable Banner - 4 Business Days",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,149.99,,,,,,,id:3272,,,,,,2,,Turnaround,"4 Business Days",,0,,Size,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:3336,,,,,,5,,Finish,,,0,,"Need Design","No\, I have a design",,0,,,,,,,,,,,,Quanity,250,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3721,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25,,,,,,,id:3336,,,,,,6,,Finish,,,0,,"Need Design","No\, I have a design",,0,,,,,,,,,,,,Quanity,500,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3722,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,30,,,,,,,id:3336,,,,,,7,,Finish,,,0,,"Need Design","No\, I have a design",,0,,,,,,,,,,,,Quanity,1000,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3723,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,60,,,,,,,id:3336,,,,,,8,,Finish,,,0,,"Need Design","No\, I have a design",,0,,,,,,,,,,,,Quanity,2500,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3716,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,45,,,,,,,id:3336,,,,,,1,,Finish,,,0,,"Need Design","Yes\, I need a design",,0,,,,,,,,,,,,Quanity,250,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3717,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,50,,,,,,,id:3336,,,,,,2,,Finish,,,0,,"Need Design","Yes\, I need a design",,0,,,,,,,,,,,,Quanity,500,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3718,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,55,,,,,,,id:3336,,,,,,3,,Finish,,,0,,"Need Design","Yes\, I need a design",,0,,,,,,,,,,,,Quanity,1000,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3719,variation,,,"Standard Business Cards",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99,,,,,,,id:3336,,,,,,4,,Finish,,,0,,"Need Design","Yes\, I need a design",,0,,,,,,,,,,,,Quanity,2500,,0,Turnaround,,,0,,,,,,,,,,,,,,,,,
3385,variation,,,"X-Style Collapsible Outdoor Banner - 24 x 36",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,69.99,,,,,,,id:3383,,,,,,1,,Size,"24 x 36",,0,,Turnaround,,,0,,,,,,,,,,yes,yes,,,,,,,,,,"24 x 36",,,,,,,,,,,product,,,,
3432,variation,,,"Backdrop Banner Stands",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,300,,,,,,,id:3387,,,,,,1,,Size,"95"" x 96""",,0,,Stock,"130z Scrim Vinyl (Outdoor)",,0,,,,,,,,,,,,Turnaround,,,0,,,,,,"95"" x 96""",,,,,,,,,,,,,,,
3412,variation,,,"Standard Magnets",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,50,,,,,,,id:3390,,,,,,1,,Quanity,75,,0,,Size,,,0,,,,,,,,,,,,Turnaround,,,0,,,,,,,,,,,,,,,,,,,,,
3413,variation,,,"Standard Magnets",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,59,,,,,,,id:3390,,,,,,2,,Quanity,100,,0,,Size,,,0,,,,,,,,,,,,Turnaround,,,0,,,,,,,,,,,,,,,,,,,,,
3414,variation,,,"Standard Magnets",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75,,,,,,,id:3390,,,,,,3,,Quanity,150,,0,,Size,,,0,,,,,,,,,,,,Turnaround,,,0,,,,,,,,,,,,,,,,,,,,,
3415,variation,,,"Standard Magnets",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,85,,,,,,,id:3390,,,,,,4,,Quanity,200,,0,,Size,,,0,,,,,,,,,,,,Turnaround,,,0,,,,,,,,,,,,,,,,,,,,,
3472,variation,,,"Car Door Magnets",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25,,,,,,,id:3417,,,,,,1,,Stock,"30mil Magnet",,0,,Finish,"UV Coating",,0,,,,,,,,,,,,Size,"12"" x 24"" (Compact Cars)",,0,Turnaround,,,0,,"12"" x 24"" (Compact Cars)",,,,,,,,,,,,,,,
3473,variation,,,"Car Door Magnets",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,40,,,,,,,id:3417,,,,,,2,,Stock,"30mil Magnet",,0,,Finish,"UV Coating",,0,,,,,,,,,,,,Size,"18"" x 24"" (Medium Sized)",,0,Turnaround,,,0,,"18"" x 24"" (Medium Sized)",,,,,,,,,,,,,,,
3474,variation,,,"Car Door Magnets",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,55,,,,,,,id:3417,,,,,,3,,Stock,"30mil Magnet",,0,,Finish,"UV Coating",,0,,,,,,,,,,,,Size,"18"" x 36"" (Trucks/Vans)",,0,Turnaround,,,0,,"18"" x 36"" (Trucks/Vans)",,,,,,,,,,,,,,,
3686,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,399,,,,,,,id:3422,,,,,,8,,Size,"90"" x 136""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","White Thread",,0,Turnaround,,,0,,"90"" x 136""",,,,,,,,,,,,,,,
3685,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,399,,,,,,,id:3422,,,,,,7,,Size,"90"" x 136""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","Black Thread",,0,Turnaround,,,0,,"90"" x 136""",,,,,,,,,,,,,,,
3684,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,349,,,,,,,id:3422,,,,,,6,,Size,"90"" x 132""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","White Thread",,0,Turnaround,,,0,,"90"" x 132""",,,,,,,,,,,,,,,
3683,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,349,,,,,,,id:3422,,,,,,5,,Size,"90"" x 132""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","Black Thread",,0,Turnaround,,,0,,"90"" x 132""",,,,,,,,,,,,,,,
3682,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,299,,,,,,,id:3422,,,,,,4,,Size,"68"" x 156""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","White Thread",,0,Turnaround,,,0,,"68"" x 156""",,,,,,,,,,,,,,,
3681,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,299,,,,,,,id:3422,,,,,,3,,Size,"68"" x 156""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","Black Thread",,0,Turnaround,,,0,,"68"" x 156""",,,,,,,,,,,,,,,
3680,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,250,,,,,,,id:3422,,,,,,2,,Size,"68"" x 132""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","White Thread",,0,Turnaround,,,0,,"68"" x 132""",,,,,,,,,,,,,,,
3679,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,250,,,,,,,id:3422,,,,,,1,,Size,"68"" x 132""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color","Black Thread",,0,Turnaround,,,0,,"68"" x 132""",,,,,,,,,,,,,,,
3426,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,399,,,,,,,id:3422,,,,,,12,,Size,"90"" x 136""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color",,,0,Turnaround,,,0,,"90"" x 136""",,,,,,,,,,,,,,,
3425,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,349,,,,,,,id:3422,,,,,,11,,Size,"90"" x 132""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color",,,0,Turnaround,,,0,,"90"" x 132""",,,,,,,,,,,,,,,
3424,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,299,,,,,,,id:3422,,,,,,10,,Size,"68"" x 156""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color",,,0,Turnaround,,,0,,"68"" x 156""",,,,,,,,,,,,,,,
3423,variation,,,Tablecloths,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,250,,,,,,,id:3422,,,,,,9,,Size,"68"" x 132""",,0,,Stock,,,0,,,,,,,,,,,,"Thread Color",,,0,Turnaround,,,0,,"68"" x 132""",,,,,,,,,,,,,,,
3440,variation,,,"4x6 Table Tents",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99,,,,,,,id:3434,,,,,,1,,Quanity,75,,0,,Size,"4"" x 6""",,0,,,,,,,,,,,,Stock,,,0,Finish,,,0,,"4"" x 6""",,Turnaround,,,0,,,,,,,,,,
3441,variation,,,"4x6 Table Tents",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,109,,,,,,,id:3434,,,,,,2,,Quanity,100,,0,,Size,"4"" x 6""",,0,,,,,,,,,,,,Stock,,,0,Finish,,,0,,"4"" x 6""",,Turnaround,,,0,,,,,,,,,,
3442,variation,,,"4x6 Table Tents",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,225,,,,,,,id:3434,,,,,,3,,Quanity,250,,0,,Size,"4"" x 6""",,0,,,,,,,,,,,,Stock,,,0,Finish,,,0,,"4"" x 6""",,Turnaround,,,0,,,,,,,,,,
3443,variation,,,"4x6 Table Tents",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,250,,,,,,,id:3434,,,,,,4,,Quanity,500,,0,,Size,"4"" x 6""",,0,,,,,,,,,,,,Stock,,,0,Finish,,,0,,"4"" x 6""",,Turnaround,,,0,,,,,,,,,,
3445,variation,,,"Sidewalk Signs",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,125,,,,,,,id:3444,,,,,,1,,Size,"24"" x 18""",,0,,Stock,"4mm White Coroplast",,0,,,,,,,,,,,,Turnaround,,,0,,,,,,"24"" x 18""",,,,,,,,,,,,,,,
3587,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,125,,,,,,,id:3475,,,,,,48,,Finish,Matte,,0,,"Need Design","No\, I have a design.",,0,,,,,,,,,,,,Quanity,2500,,0,Size,"4"" x 4""",,0,,"4"" x 4""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3575,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,149,,,,,,,id:3475,,,,,,36,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,2500,,0,Size,"4"" x 4""",,0,,"4"" x 4""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3574,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,209,,,,,,,id:3475,,,,,,35,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,2500,,0,Size,"5""x 8""",,0,,"5""x 8""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3573,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,150,,,,,,,id:3475,,,,,,34,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,2500,,0,Size,"4"" x 6""",,0,,"4"" x 6""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3572,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99,,,,,,,id:3475,,,,,,33,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,1000,,0,Size,"4"" x 4""",,0,,"4"" x 4""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3571,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,139,,,,,,,id:3475,,,,,,32,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,1000,,0,Size,"5""x 8""",,0,,"5""x 8""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3570,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99,,,,,,,id:3475,,,,,,31,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,1000,,0,Size,"4"" x 6""",,0,,"4"" x 6""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3569,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,89,,,,,,,id:3475,,,,,,30,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,500,,0,Size,"4"" x 4""",,0,,"4"" x 4""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3568,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,125,,,,,,,id:3475,,,,,,29,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,500,,0,Size,"5""x 8""",,0,,"5""x 8""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
3567,variation,,,Postcards/Flyers,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:3475,,,,,,28,,Finish,Matte,,0,,"Need Design","Yes\, I need a design.",,0,,,,,,,,,,,,Quanity,500,,0,Size,"4"" x 6""",,0,,"4"" x 6""",,Cardstock,16pt,,0,,Turnaround,,,0,,,,,
